Noun;Count;Relative_Frequency;Corpus
Reflection;2;0.01%;ICE-HK
reforms;2;0.01%;ICE-HK
refugees;2;0.01%;ICE-HK
regulation;2;0.01%;ICE-HK
reliability;2;0.01%;ICE-HK
religion;2;0.01%;ICE-HK
reluctance;2;0.01%;ICE-HK
remainder;2;0.01%;ICE-HK
Renaissance;2;0.01%;ICE-HK
representations;2;0.01%;ICE-HK
rescue;2;0.01%;ICE-HK
resentment;2;0.01%;ICE-HK
restructuring;2;0.01%;ICE-HK
reverse;2;0.01%;ICE-HK
rhizotomy;2;0.01%;ICE-HK
riots;2;0.01%;ICE-HK
risks;2;0.01%;ICE-HK
roofs;2;0.01%;ICE-HK
routing;2;0.01%;ICE-HK
sac;2;0.01%;ICE-HK
samples;2;0.01%;ICE-HK
satire;2;0.01%;ICE-HK
SC-based;2;0.01%;ICE-HK
scenario;2;0.01%;ICE-HK
schema;2;0.01%;ICE-HK
screen;2;0.01%;ICE-HK
sealant;2;0.01%;ICE-HK
Sect;2;0.01%;ICE-HK
sedimentation;2;0.01%;ICE-HK
seminar;2;0.01%;ICE-HK
sensors;2;0.01%;ICE-HK
sequence;2;0.01%;ICE-HK
sequences;2;0.01%;ICE-HK
settlement;2;0.01%;ICE-HK
severity;2;0.01%;ICE-HK
share;2;0.01%;ICE-HK
shift;2;0.01%;ICE-HK
ship;2;0.01%;ICE-HK
shower;2;0.01%;ICE-HK
shrubs;2;0.01%;ICE-HK
siblings;2;0.01%;ICE-HK
sidedrops;2;0.01%;ICE-HK
signals;2;0.01%;ICE-HK
signifiers;2;0.01%;ICE-HK
silence;2;0.01%;ICE-HK
simplicity;2;0.01%;ICE-HK
Sir;2;0.01%;ICE-HK
skill;2;0.01%;ICE-HK
SLA;2;0.01%;ICE-HK
smoke;2;0.01%;ICE-HK
sort;2;0.01%;ICE-HK
spasticity;2;0.01%;ICE-HK
specialists;2;0.01%;ICE-HK
specimens;2;0.01%;ICE-HK
spines;2;0.01%;ICE-HK
start;2;0.01%;ICE-HK
START-UP;2;0.01%;ICE-HK
strangers;2;0.01%;ICE-HK
stroke;2;0.01%;ICE-HK
sub-contractor;2;0.01%;ICE-HK
subcultures;2;0.01%;ICE-HK
subspecialty;2;0.01%;ICE-HK
substances;2;0.01%;ICE-HK
substitutions;2;0.01%;ICE-HK
succimer;2;0.01%;ICE-HK
suggestions;2;0.01%;ICE-HK
SUMMARY;2;0.01%;ICE-HK
summer;2;0.01%;ICE-HK
superiority;2;0.01%;ICE-HK
surfaces;2;0.01%;ICE-HK
surveys;2;0.01%;ICE-HK
survival;2;0.01%;ICE-HK
symbols;2;0.01%;ICE-HK
Tables;2;0.01%;ICE-HK
tanker;2;0.01%;ICE-HK
tao;2;0.01%;ICE-HK
task;2;0.01%;ICE-HK
tasks;2;0.01%;ICE-HK
taxonomy;2;0.01%;ICE-HK
tea;2;0.01%;ICE-HK
tempo;2;0.01%;ICE-HK
terminals;2;0.01%;ICE-HK
terrain;2;0.01%;ICE-HK
Testament;2;0.01%;ICE-HK
tetraparesis;2;0.01%;ICE-HK
textiles;2;0.01%;ICE-HK
theatres;2;0.01%;ICE-HK
theatricality;2;0.01%;ICE-HK
theology;2;0.01%;ICE-HK
theorists;2;0.01%;ICE-HK
thought;2;0.01%;ICE-HK
tiles;2;0.01%;ICE-HK
tissues;2;0.01%;ICE-HK
tobacco;2;0.01%;ICE-HK
toilets;2;0.01%;ICE-HK
token;2;0.01%;ICE-HK
tomography;2;0.01%;ICE-HK
Tou;2;0.01%;ICE-HK
Toxicology;2;0.01%;ICE-HK
toys;2;0.01%;ICE-HK
tracks;2;0.01%;ICE-HK
trackwork;2;0.01%;ICE-HK
transformations;2;0.01%;ICE-HK
trap;2;0.01%;ICE-HK
treat-ment;2;0.01%;ICE-HK
treatments;2;0.01%;ICE-HK
tremor;2;0.01%;ICE-HK
trenches;2;0.01%;ICE-HK
triangle;2;0.01%;ICE-HK
triglyceride;2;0.01%;ICE-HK
troupes;2;0.01%;ICE-HK
Tsa-chu;2;0.01%;ICE-HK
tu;2;0.01%;ICE-HK
tuberculosis;2;0.01%;ICE-HK
tumours;2;0.01%;ICE-HK
UKPDS;2;0.01%;ICE-HK
ulcers;2;0.01%;ICE-HK
unions;2;0.01%;ICE-HK
updates;2;0.01%;ICE-HK
utilisation;2;0.01%;ICE-HK
variability;2;0.01%;ICE-HK
varieties;2;0.01%;ICE-HK
vendors;2;0.01%;ICE-HK
venue;2;0.01%;ICE-HK
verb;2;0.01%;ICE-HK
vertebrae;2;0.01%;ICE-HK
violence;2;0.01%;ICE-HK
virtue;2;0.01%;ICE-HK
viruses;2;0.01%;ICE-HK
vitality;2;0.01%;ICE-HK
volumes;2;0.01%;ICE-HK
ware;2;0.01%;ICE-HK
watertightness;2;0.01%;ICE-HK
well;2;0.01%;ICE-HK
wielders;2;0.01%;ICE-HK
wildlife;2;0.01%;ICE-HK
wing;2;0.01%;ICE-HK
wish;2;0.01%;ICE-HK
Wong;2;0.01%;ICE-HK
worries;2;0.01%;ICE-HK
writers;2;0.01%;ICE-HK
writing;2;0.01%;ICE-HK
zen;2;0.01%;ICE-HK
zones;2;0.01%;ICE-HK
#NAME?;1;0.01%;ICE-HK
'and;1;0.01%;ICE-HK
'approach;1;0.01%;ICE-HK
'are;1;0.01%;ICE-HK
'Auditor;1;0.01%;ICE-HK
'denigration;1;0.01%;ICE-HK
'Dispatcher';1;0.01%;ICE-HK
'every;1;0.01%;ICE-HK
'flatbush;1;0.01%;ICE-HK
'glucose;1;0.01%;ICE-HK
'has;1;0.01%;ICE-HK
'in;1;0.01%;ICE-HK
'Letter;1;0.01%;ICE-HK
'model;1;0.01%;ICE-HK
'OFF;1;0.01%;ICE-HK
'or;1;0.01%;ICE-HK
'perceptions;1;0.01%;ICE-HK
'rice;1;0.01%;ICE-HK
'westernisation;1;0.01%;ICE-HK
'which;1;0.01%;ICE-HK
0.5m;1;0.01%;ICE-HK
1.25m;1;0.01%;ICE-HK
1.55m;1;0.01%;ICE-HK
100mm;1;0.01%;ICE-HK
11m;1;0.01%;ICE-HK
125mm;1;0.01%;ICE-HK
12m;1;0.01%;ICE-HK
12mm;1;0.01%;ICE-HK
1350mm;1;0.01%;ICE-HK
1km;1;0.01%;ICE-HK
2.0m;1;0.01%;ICE-HK
2.6m;1;0.01%;ICE-HK
200kW;1;0.01%;ICE-HK
20m;1;0.01%;ICE-HK
20mm;1;0.01%;ICE-HK
22m;1;0.01%;ICE-HK
240mm;1;0.01%;ICE-HK
250mm;1;0.01%;ICE-HK
2m;1;0.01%;ICE-HK
3.4m;1;0.01%;ICE-HK
300m;1;0.01%;ICE-HK
35m;1;0.01%;ICE-HK
380mm;1;0.01%;ICE-HK
3mm;1;0.01%;ICE-HK
4-methypyrazole;1;0.01%;ICE-HK
40-;1;0.01%;ICE-HK
40.5m;1;0.01%;ICE-HK
450mm;1;0.01%;ICE-HK
47;1;0.01%;ICE-HK
5-inch;1;0.01%;ICE-HK
5.5km;1;0.01%;ICE-HK
60m;1;0.01%;ICE-HK
6V/9V;1;0.01%;ICE-HK
7.75m;1;0.01%;ICE-HK
70m;1;0.01%;ICE-HK
750mm;1;0.01%;ICE-HK
800mm;1;0.01%;ICE-HK
80mm;1;0.01%;ICE-HK
85m;1;0.01%;ICE-HK
a.;1;0.01%;ICE-HK
abductors;1;0.01%;ICE-HK
ablation;1;0.01%;ICE-HK
absentee;1;0.01%;ICE-HK
abundance;1;0.01%;ICE-HK
Academy;1;0.01%;ICE-HK
accent;1;0.01%;ICE-HK
acceptor;1;0.01%;ICE-HK
accessibility;1;0.01%;ICE-HK
accommodation;1;0.01%;ICE-HK
accomplishments;1;0.01%;ICE-HK
accountability;1;0.01%;ICE-HK
accounting;1;0.01%;ICE-HK
achievement;1;0.01%;ICE-HK
achievements;1;0.01%;ICE-HK
acknowledgment;1;0.01%;ICE-HK
ACRDCL;1;0.01%;ICE-HK
activation;1;0.01%;ICE-HK
activites;1;0.01%;ICE-HK
actor-training;1;0.01%;ICE-HK
acuteness;1;0.01%;ICE-HK
adapters;1;0.01%;ICE-HK
addition;1;0.01%;ICE-HK
additives;1;0.01%;ICE-HK
addresses;1;0.01%;ICE-HK
adductors;1;0.01%;ICE-HK
adenomas;1;0.01%;ICE-HK
adherent;1;0.01%;ICE-HK
adipocytes;1;0.01%;ICE-HK
adiposity;1;0.01%;ICE-HK
adjectives;1;0.01%;ICE-HK
adjustment;1;0.01%;ICE-HK
adjustments;1;0.01%;ICE-HK
administrators;1;0.01%;ICE-HK
admission;1;0.01%;ICE-HK
adolescents;1;0.01%;ICE-HK
adversity;1;0.01%;ICE-HK
Adviser;1;0.01%;ICE-HK
advocate;1;0.01%;ICE-HK
advocates;1;0.01%;ICE-HK
aetiologies;1;0.01%;ICE-HK
aetiology;1;0.01%;ICE-HK
affair;1;0.01%;ICE-HK
affluence;1;0.01%;ICE-HK
afterlife;1;0.01%;ICE-HK
ages;1;0.01%;ICE-HK
aggregate;1;0.01%;ICE-HK
agreements;1;0.01%;ICE-HK
Agriculture;1;0.01%;ICE-HK
aid;1;0.01%;ICE-HK
aide;1;0.01%;ICE-HK
ailment;1;0.01%;ICE-HK
air-interface;1;0.01%;ICE-HK
airplanes;1;0.01%;ICE-HK
alangesics;1;0.01%;ICE-HK
alarms;1;0.01%;ICE-HK
albolabris;1;0.01%;ICE-HK
algorithms;1;0.01%;ICE-HK
alkalis;1;0.01%;ICE-HK
alley;1;0.01%;ICE-HK
allocations;1;0.01%;ICE-HK
alloys;1;0.01%;ICE-HK
alterations;1;0.01%;ICE-HK
alternatives;1;0.01%;ICE-HK
alternator;1;0.01%;ICE-HK
aluminium;1;0.01%;ICE-HK
amalgamation;1;0.01%;ICE-HK
amateurs;1;0.01%;ICE-HK
ambition;1;0.01%;ICE-HK
ambivalence;1;0.01%;ICE-HK
Americans;1;0.01%;ICE-HK
amino;1;0.01%;ICE-HK
amounts;1;0.01%;ICE-HK
amplitude;1;0.01%;ICE-HK
ampoule;1;0.01%;ICE-HK
amylin;1;0.01%;ICE-HK
analgesics;1;0.01%;ICE-HK
analogues;1;0.01%;ICE-HK
anarchy;1;0.01%;ICE-HK
anatomy;1;0.01%;ICE-HK
ancestor;1;0.01%;ICE-HK
aneurysm;1;0.01%;ICE-HK
angels;1;0.01%;ICE-HK
angiography;1;0.01%;ICE-HK
angiotensin;1;0.01%;ICE-HK
angiotensinogen;1;0.01%;ICE-HK
animals;1;0.01%;ICE-HK
anime;1;0.01%;ICE-HK
annunciation;1;0.01%;ICE-HK
answering;1;0.01%;ICE-HK
answers;1;0.01%;ICE-HK
antagonists;1;0.01%;ICE-HK
antecedents;1;0.01%;ICE-HK
anti-air;1;0.01%;ICE-HK
anti-symmetry;1;0.01%;ICE-HK
anticipations;1;0.01%;ICE-HK
antitioxin;1;0.01%;ICE-HK
antivenenes;1;0.01%;ICE-HK
anxieties;1;0.01%;ICE-HK
aporia;1;0.01%;ICE-HK
apparel;1;0.01%;ICE-HK
APPLE;1;0.01%;ICE-HK
apples;1;0.01%;ICE-HK
appliances;1;0.01%;ICE-HK
applicant;1;0.01%;ICE-HK
applicants;1;0.01%;ICE-HK
appointees;1;0.01%;ICE-HK
appointments;1;0.01%;ICE-HK
approaches;1;0.01%;ICE-HK
appropriation;1;0.01%;ICE-HK
arcades;1;0.01%;ICE-HK
architecture;1;0.01%;ICE-HK
argumentation;1;0.01%;ICE-HK
arguments;1;0.01%;ICE-HK
arms;1;0.01%;ICE-HK
arrival;1;0.01%;ICE-HK
arrivals;1;0.01%;ICE-HK
arsenic;1;0.01%;ICE-HK
arteries;1;0.01%;ICE-HK
arties;1;0.01%;ICE-HK
artifact;1;0.01%;ICE-HK
artistry;1;0.01%;ICE-HK
artists;1;0.01%;ICE-HK
as'type;1;0.01%;ICE-HK
ascension;1;0.01%;ICE-HK
asphyxia;1;0.01%;ICE-HK
aspirate;1;0.01%;ICE-HK
aspirations;1;0.01%;ICE-HK
assemblage;1;0.01%;ICE-HK
assessments;1;0.01%;ICE-HK
assistants;1;0.01%;ICE-HK
associations;1;0.01%;ICE-HK
assumption;1;0.01%;ICE-HK
asthma;1;0.01%;ICE-HK
astrocytomas;1;0.01%;ICE-HK
at-risk;1;0.01%;ICE-HK
atrocities;1;0.01%;ICE-HK
attachment;1;0.01%;ICE-HK
attainment;1;0.01%;ICE-HK
attempts;1;0.01%;ICE-HK
atten-tion;1;0.01%;ICE-HK
attentions;1;0.01%;ICE-HK
attributes;1;0.01%;ICE-HK
authenticity;1;0.01%;ICE-HK
automation;1;0.01%;ICE-HK
avail;1;0.01%;ICE-HK
avoidance;1;0.01%;ICE-HK
axilla;1;0.01%;ICE-HK
axon;1;0.01%;ICE-HK
axonopathies;1;0.01%;ICE-HK
b.;1;0.01%;ICE-HK
bacilli;1;0.01%;ICE-HK
backdrop;1;0.01%;ICE-HK
backdrops;1;0.01%;ICE-HK
backgrounds;1;0.01%;ICE-HK
backup;1;0.01%;ICE-HK
ballots;1;0.01%;ICE-HK
bandwidth;1;0.01%;ICE-HK
bar-code-tattoos;1;0.01%;ICE-HK
bars;1;0.01%;ICE-HK
baseline;1;0.01%;ICE-HK
bases;1;0.01%;ICE-HK
basin;1;0.01%;ICE-HK
basins;1;0.01%;ICE-HK
bath-tub;1;0.01%;ICE-HK
baths;1;0.01%;ICE-HK
batter;1;0.01%;ICE-HK
batteries;1;0.01%;ICE-HK
beams;1;0.01%;ICE-HK
beauty;1;0.01%;ICE-HK
bed;1;0.01%;ICE-HK
bedrock;1;0.01%;ICE-HK
behalf;1;0.01%;ICE-HK
being;1;0.01%;ICE-HK
beings;1;0.01%;ICE-HK
bells;1;0.01%;ICE-HK
belts;1;0.01%;ICE-HK
bends;1;0.01%;ICE-HK
bentonite;1;0.01%;ICE-HK
bid;1;0.01%;ICE-HK
bikes;1;0.01%;ICE-HK
billboards;1;0.01%;ICE-HK
bins;1;0.01%;ICE-HK
bio-engineer;1;0.01%;ICE-HK
biomechanics;1;0.01%;ICE-HK
biotechnology;1;0.01%;ICE-HK
birds;1;0.01%;ICE-HK
bismuth;1;0.01%;ICE-HK
bit;1;0.01%;ICE-HK
bleeding;1;0.01%;ICE-HK
blend;1;0.01%;ICE-HK
blessing;1;0.01%;ICE-HK
blocs;1;0.01%;ICE-HK
boilers;1;0.01%;ICE-HK
Bonaventure;1;0.01%;ICE-HK
bond;1;0.01%;ICE-HK
booklet;1;0.01%;ICE-HK
Boost;1;0.01%;ICE-HK
boundaries;1;0.01%;ICE-HK
bourgeoisie;1;0.01%;ICE-HK
bowls;1;0.01%;ICE-HK
bracket;1;0.01%;ICE-HK
bradycardia;1;0.01%;ICE-HK
breakdown;1;0.01%;ICE-HK
breath;1;0.01%;ICE-HK
breathing;1;0.01%;ICE-HK
breccia;1;0.01%;ICE-HK
breeze;1;0.01%;ICE-HK
brick;1;0.01%;ICE-HK
broadcast;1;0.01%;ICE-HK
browsers;1;0.01%;ICE-HK
browsing;1;0.01%;ICE-HK
bruises;1;0.01%;ICE-HK
Buddhist;1;0.01%;ICE-HK
budgets;1;0.01%;ICE-HK
Builder;1;0.01%;ICE-HK
Bukatman;1;0.01%;ICE-HK
bulbs;1;0.01%;ICE-HK
bundle;1;0.01%;ICE-HK
Bureau;1;0.01%;ICE-HK
Bus-stop;1;0.01%;ICE-HK
buses;1;0.01%;ICE-HK
by-pass;1;0.01%;ICE-HK
C-peptide;1;0.01%;ICE-HK
C4-C7;1;0.01%;ICE-HK
Cable;1;0.01%;ICE-HK
cabling;1;0.01%;ICE-HK
CACCS;1;0.01%;ICE-HK
calcifications;1;0.01%;ICE-HK
calculation;1;0.01%;ICE-HK
calf;1;0.01%;ICE-HK
calibration;1;0.01%;ICE-HK
caller;1;0.01%;ICE-HK
calorie;1;0.01%;ICE-HK
calories;1;0.01%;ICE-HK
can;1;0.01%;ICE-HK
canal;1;0.01%;ICE-HK
cancers;1;0.01%;ICE-HK
Candidates;1;0.01%;ICE-HK
candle;1;0.01%;ICE-HK
candlelight;1;0.01%;ICE-HK
candles;1;0.01%;ICE-HK
cans;1;0.01%;ICE-HK
cantilevers;1;0.01%;ICE-HK
Cap;1;0.01%;ICE-HK
capabilities;1;0.01%;ICE-HK
capacities;1;0.01%;ICE-HK
capacitors;1;0.01%;ICE-HK
car;1;0.01%;ICE-HK
carbon;1;0.01%;ICE-HK
career;1;0.01%;ICE-HK
careers;1;0.01%;ICE-HK
carnations;1;0.01%;ICE-HK
carparks;1;0.01%;ICE-HK
carrier;1;0.01%;ICE-HK
cartoon;1;0.01%;ICE-HK
cartridge;1;0.01%;ICE-HK
cartridges;1;0.01%;ICE-HK
cash;1;0.01%;ICE-HK
cassette;1;0.01%;ICE-HK
catecholamines;1;0.01%;ICE-HK
catheter;1;0.01%;ICE-HK
catheters;1;0.01%;ICE-HK
caveat;1;0.01%;ICE-HK
caveats;1;0.01%;ICE-HK
cavity;1;0.01%;ICE-HK
CELP;1;0.01%;ICE-HK
cement;1;0.01%;ICE-HK
centrality;1;0.01%;ICE-HK
certification;1;0.01%;ICE-HK
ch'i;1;0.01%;ICE-HK
chairmanship;1;0.01%;ICE-HK
chairmen;1;0.01%;ICE-HK
champion;1;0.01%;ICE-HK
Chang;1;0.01%;ICE-HK
changing;1;0.01%;ICE-HK
Chao-chun;1;0.01%;ICE-HK
chaos;1;0.01%;ICE-HK
characterization;1;0.01%;ICE-HK
Charities;1;0.01%;ICE-HK
charity;1;0.01%;ICE-HK
checks;1;0.01%;ICE-HK
chemical;1;0.01%;ICE-HK
chemicals;1;0.01%;ICE-HK
Chi-chuen;1;0.01%;ICE-HK
Chih-yuan;1;0.01%;ICE-HK
child-care;1;0.01%;ICE-HK
China-towns;1;0.01%;ICE-HK
Chinatown;1;0.01%;ICE-HK
chlorofluorocarbons;1;0.01%;ICE-HK
cholesterol;1;0.01%;ICE-HK
choreographer-dancers;1;0.01%;ICE-HK
choreographers;1;0.01%;ICE-HK
Chung-hsi;1;0.01%;ICE-HK
Chung-shu;1;0.01%;ICE-HK
churches;1;0.01%;ICE-HK
chute;1;0.01%;ICE-HK
ciguatera;1;0.01%;ICE-HK
cinemas;1;0.01%;ICE-HK
cinematography;1;0.01%;ICE-HK
Circle;1;0.01%;ICE-HK
circumharbor;1;0.01%;ICE-HK
circumstance;1;0.01%;ICE-HK
cistern;1;0.01%;ICE-HK
cities/towns;1;0.01%;ICE-HK
city-planners;1;0.01%;ICE-HK
cityscapes;1;0.01%;ICE-HK
civility;1;0.01%;ICE-HK
clamp;1;0.01%;ICE-HK
clapping;1;0.01%;ICE-HK
classic;1;0.01%;ICE-HK
CLASSIFICATIONS;1;0.01%;ICE-HK
classrooms;1;0.01%;ICE-HK
cleaning;1;0.01%;ICE-HK
cleavage;1;0.01%;ICE-HK
clichs;1;0.01%;ICE-HK
cliff-hangers;1;0.01%;ICE-HK
climate;1;0.01%;ICE-HK
climbers;1;0.01%;ICE-HK
climbing;1;0.01%;ICE-HK
clinician;1;0.01%;ICE-HK
clinicians;1;0.01%;ICE-HK
clusterings;1;0.01%;ICE-HK
clusters;1;0.01%;ICE-HK
CNTA;1;0.01%;ICE-HK
co-operation;1;0.01%;ICE-HK
co-ordination;1;0.01%;ICE-HK
coffin;1;0.01%;ICE-HK
cohabitant;1;0.01%;ICE-HK
cohorts;1;0.01%;ICE-HK
coin;1;0.01%;ICE-HK
coincidence;1;0.01%;ICE-HK
collaboration;1;0.01%;ICE-HK
collage;1;0.01%;ICE-HK
collar;1;0.01%;ICE-HK
collecting;1;0.01%;ICE-HK
collision;1;0.01%;ICE-HK
collocation;1;0.01%;ICE-HK
colonies;1;0.01%;ICE-HK
colonization;1;0.01%;ICE-HK
coloration;1;0.01%;ICE-HK
coma;1;0.01%;ICE-HK
combustion;1;0.01%;ICE-HK
comedy;1;0.01%;ICE-HK
coming;1;0.01%;ICE-HK
commence-ment;1;0.01%;ICE-HK
commentaries;1;0.01%;ICE-HK
commercialism;1;0.01%;ICE-HK
Commissioner;1;0.01%;ICE-HK
commitments;1;0.01%;ICE-HK
communicability;1;0.01%;ICE-HK
companion;1;0.01%;ICE-HK
companions;1;0.01%;ICE-HK
comparability;1;0.01%;ICE-HK
comparativism;1;0.01%;ICE-HK
COMPARSIONS;1;0.01%;ICE-HK
compartment;1;0.01%;ICE-HK
compartments;1;0.01%;ICE-HK
compatibility;1;0.01%;ICE-HK
complaints;1;0.01%;ICE-HK
compressor;1;0.01%;ICE-HK
compromise;1;0.01%;ICE-HK
compromises;1;0.01%;ICE-HK
computing;1;0.01%;ICE-HK
con-tents;1;0.01%;ICE-HK
conception;1;0.01%;ICE-HK
conceptions;1;0.01%;ICE-HK
Conclusions;1;0.01%;ICE-HK
concourse;1;0.01%;ICE-HK
concreter;1;0.01%;ICE-HK
condensation;1;0.01%;ICE-HK
conducts;1;0.01%;ICE-HK
conferences;1;0.01%;ICE-HK
configurations;1;0.01%;ICE-HK
confines;1;0.01%;ICE-HK
confirmation;1;0.01%;ICE-HK
congruence;1;0.01%;ICE-HK
connotation;1;0.01%;ICE-HK
connotations;1;0.01%;ICE-HK
consistency;1;0.01%;ICE-HK
constituencies;1;0.01%;ICE-HK
constructs;1;0.01%;ICE-HK
consultants;1;0.01%;ICE-HK
containers;1;0.01%;ICE-HK
contamination;1;0.01%;ICE-HK
contender;1;0.01%;ICE-HK
contour;1;0.01%;ICE-HK
contra-indication;1;0.01%;ICE-HK
contract;1;0.01%;ICE-HK
contradiction;1;0.01%;ICE-HK
contrary;1;0.01%;ICE-HK
contrasts;1;0.01%;ICE-HK
controllers;1;0.01%;ICE-HK
convenience;1;0.01%;ICE-HK
converter/inverter;1;0.01%;ICE-HK
cooptation;1;0.01%;ICE-HK
coral;1;0.01%;ICE-HK
cores;1;0.01%;ICE-HK
corner;1;0.01%;ICE-HK
cornerstones;1;0.01%;ICE-HK
corporations;1;0.01%;ICE-HK
corrections;1;0.01%;ICE-HK
corrective;1;0.01%;ICE-HK
correlation;1;0.01%;ICE-HK
corrosives;1;0.01%;ICE-HK
cortisol;1;0.01%;ICE-HK
cosegregation;1;0.01%;ICE-HK
cost-containment.;1;0.01%;ICE-HK
cost-recovery;1;0.01%;ICE-HK
costumes;1;0.01%;ICE-HK
coun-tries;1;0.01%;ICE-HK
countdown;1;0.01%;ICE-HK
counterpart;1;0.01%;ICE-HK
counts;1;0.01%;ICE-HK
couple;1;0.01%;ICE-HK
courage;1;0.01%;ICE-HK
court;1;0.01%;ICE-HK
cows;1;0.01%;ICE-HK
cracks;1;0.01%;ICE-HK
cradles;1;0.01%;ICE-HK
craft;1;0.01%;ICE-HK
cranes;1;0.01%;ICE-HK
craniopharyngiomas;1;0.01%;ICE-HK
Craniotomy;1;0.01%;ICE-HK
crawler;1;0.01%;ICE-HK
craze;1;0.01%;ICE-HK
cream;1;0.01%;ICE-HK
credit;1;0.01%;ICE-HK
crime-related;1;0.01%;ICE-HK
crisis;1;0.01%;ICE-HK
critique;1;0.01%;ICE-HK
critiques;1;0.01%;ICE-HK
crits;1;0.01%;ICE-HK
crop;1;0.01%;ICE-HK
crops;1;0.01%;ICE-HK
cross;1;0.01%;ICE-HK
cross-communication;1;0.01%;ICE-HK
crowd;1;0.01%;ICE-HK
crowdedness;1;0.01%;ICE-HK
cryptococcus;1;0.01%;ICE-HK
Crystal;1;0.01%;ICE-HK
CTs;1;0.01%;ICE-HK
cu;1;0.01%;ICE-HK
cubicle;1;0.01%;ICE-HK
cult;1;0.01%;ICE-HK
cup;1;0.01%;ICE-HK
cure;1;0.01%;ICE-HK
curiosity;1;0.01%;ICE-HK
customer;1;0.01%;ICE-HK
cutting;1;0.01%;ICE-HK
cyanocobalamin;1;0.01%;ICE-HK
cyber-thrillers;1;0.01%;ICE-HK
Cyclops;1;0.01%;ICE-HK
cysts;1;0.01%;ICE-HK
D.M;1;0.01%;ICE-HK
damages;1;0.01%;ICE-HK
dancer;1;0.01%;ICE-HK
dangers;1;0.01%;ICE-HK
dark;1;0.01%;ICE-HK
dates;1;0.01%;ICE-HK
day-time;1;0.01%;ICE-HK
daylight;1;0.01%;ICE-HK
debridement;1;0.01%;ICE-HK
decadence;1;0.01%;ICE-HK
decarboxylase;1;0.01%;ICE-HK
deconstruction;1;0.01%;ICE-HK
decor;1;0.01%;ICE-HK
defeats;1;0.01%;ICE-HK
defect;1;0.01%;ICE-HK
deficiency;1;0.01%;ICE-HK
degradation;1;0.01%;ICE-HK
dehydrogenase;1;0.01%;ICE-HK
deifica-tions;1;0.01%;ICE-HK
deletion/insertion;1;0.01%;ICE-HK
delighting;1;0.01%;ICE-HK
delirium;1;0.01%;ICE-HK
Democracy;1;0.01%;ICE-HK
demons;1;0.01%;ICE-HK
demonstration;1;0.01%;ICE-HK
demystification;1;0.01%;ICE-HK
denial;1;0.01%;ICE-HK
denizens;1;0.01%;ICE-HK
dependence;1;0.01%;ICE-HK
dependency;1;0.01%;ICE-HK
derivatives;1;0.01%;ICE-HK
descent;1;0.01%;ICE-HK
desert;1;0.01%;ICE-HK
desiccation;1;0.01%;ICE-HK
desir;1;0.01%;ICE-HK
desirability;1;0.01%;ICE-HK
despotism;1;0.01%;ICE-HK
destiny;1;0.01%;ICE-HK
destructions;1;0.01%;ICE-HK
determination;1;0.01%;ICE-HK
dethronement;1;0.01%;ICE-HK
detritus;1;0.01%;ICE-HK
deux;1;0.01%;ICE-HK
Deviation;1;0.01%;ICE-HK
dextrose;1;0.01%;ICE-HK
diabetic;1;0.01%;ICE-HK
dialing;1;0.01%;ICE-HK
dialogues;1;0.01%;ICE-HK
diarrhoea;1;0.01%;ICE-HK
diary;1;0.01%;ICE-HK
DICOM;1;0.01%;ICE-HK
dictation;1;0.01%;ICE-HK
dictum;1;0.01%;ICE-HK
diesel;1;0.01%;ICE-HK
Dilemma;1;0.01%;ICE-HK
dimercaprol;1;0.01%;ICE-HK
diodes;1;0.01%;ICE-HK
Diphyllobothrium;1;0.01%;ICE-HK
diplegia;1;0.01%;ICE-HK
directives;1;0.01%;ICE-HK
directors;1;0.01%;ICE-HK
disadvantage;1;0.01%;ICE-HK
disappearance;1;0.01%;ICE-HK
disaster;1;0.01%;ICE-HK
disc;1;0.01%;ICE-HK
discharging;1;0.01%;ICE-HK
discipline;1;0.01%;ICE-HK
disciplines;1;0.01%;ICE-HK
discontent;1;0.01%;ICE-HK
disguise;1;0.01%;ICE-HK
disjunctiveness;1;0.01%;ICE-HK
dislikes;1;0.01%;ICE-HK
dispatchers;1;0.01%;ICE-HK
disposition;1;0.01%;ICE-HK
disruption;1;0.01%;ICE-HK
disruptions;1;0.01%;ICE-HK
dissection;1;0.01%;ICE-HK
disseminations;1;0.01%;ICE-HK
distinction;1;0.01%;ICE-HK
distinctiveness;1;0.01%;ICE-HK
distress;1;0.01%;ICE-HK
disturbance;1;0.01%;ICE-HK
diuresis;1;0.01%;ICE-HK
Divan;1;0.01%;ICE-HK
divisions;1;0.01%;ICE-HK
doctor;1;0.01%;ICE-HK
doctrines;1;0.01%;ICE-HK
dogs;1;0.01%;ICE-HK
Doll;1;0.01%;ICE-HK
dominance;1;0.01%;ICE-HK
dosage;1;0.01%;ICE-HK
doses;1;0.01%;ICE-HK
dotting;1;0.01%;ICE-HK
double-sealed;1;0.01%;ICE-HK
downpour;1;0.01%;ICE-HK
downturn;1;0.01%;ICE-HK
dream-day;1;0.01%;ICE-HK
dream-girl;1;0.01%;ICE-HK
dream-lover;1;0.01%;ICE-HK
dreariness;1;0.01%;ICE-HK
drivers;1;0.01%;ICE-HK
drum;1;0.01%;ICE-HK
drying;1;0.01%;ICE-HK
duality;1;0.01%;ICE-HK
duct;1;0.01%;ICE-HK
